champion_id,region,tier,games_played,wins,avg_kda,avg_damage_dealt,avg_gold_earned,avg_cs,avg_vision_score,win_rate,pick_rate,ban_rate
3,euw1,DIAMOND,5,1,1.21,13658.4,8306.8,160.2,13.0,0.2,0.0043,0.0287
3,euw1,EMERALD,3,1,3.24,11508.0,8086.0,153.33,12.0,0.3333,0.0027,0.0328
3,euw1,GOLD,11,6,4.18,14689.45,9439.36,157.36,19.36,0.5455,0.0098,0.0258
3,euw1,PLATINUM,25,12,4.15,21466.68,11699.6,194.92,22.36,0.48,0.0218,0.0349
3,kr,DIAMOND,2,0,1.4,12144.0,7415.0,131.5,12.5,0.0,0.0017,0.0365
3,kr,EMERALD,4,2,3.33,14273.25,7171.5,117.5,16.0,0.5,0.0036,0.0389
3,kr,GOLD,1,0,1.8,19812.0,8854.0,166.0,15.0,0.0,0.0009,0.0342
3,kr,PLATINUM,6,4,5.03,12876.67,7945.67,116.33,25.5,0.6667,0.0053,0.0291
3,na1,DIAMOND,7,4,6.68,19873.86,10411.29,174.86,14.14,0.5714,0.0061,0.0614
3,na1,EMERALD,6,3,2.69,18869.83,11292.67,202.5,14.67,0.5,0.0053,0.0583
3,na1,GOLD,5,0,2.01,9397.0,6933.0,45.2,36.2,0.0,0.0048,0.0352
3,na1,PLATINUM,2,0,2.57,34524.5,12809.5,200.0,18.0,0.0,0.0018,0.0508
4,eun1,EMERALD,6,3,1.67,21319.67,12537.83,175.0,18.33,0.5,0.0052,0.0043
4,eun1,PLATINUM,6,3,3.51,33541.5,13769.83,197.33,15.83,0.5,0.0052,0.0114
4,euw1,DIAMOND,4,3,2.37,18024.0,11666.75,175.75,16.25,0.75,0.0035,0.0182
4,euw1,EMERALD,3,2,4.78,22544.33,12538.33,195.33,15.0,0.6667,0.0027,0.0082
4,euw1,GOLD,2,1,3.57,21943.5,12937.5,183.5,10.0,0.5,0.0018,0.0036
4,euw1,PLATINUM,13,6,5.01,25549.23,13747.08,197.77,20.31,0.4615,0.0113,0.0454
4,kr,DIAMOND,14,8,4.65,14933.14,10427.57,174.93,20.29,0.5714,0.0122,0.0946
4,kr,EMERALD,8,5,3.82,20010.0,12178.0,180.88,12.38,0.625,0.0072,0.0416
4,kr,GOLD,19,12,3.68,16901.68,11868.21,182.53,18.11,0.6316,0.0176,0.0795
4,kr,PLATINUM,18,7,4.67,19523.28,12043.94,200.22,17.89,0.3889,0.0159,0.0662
4,na1,DIAMOND,6,1,2.36,14071.83,9015.67,153.33,11.67,0.1667,0.0052,0.0199
4,na1,EMERALD,5,1,3.25,20645.2,11424.4,184.4,9.0,0.2,0.0044,0.0186
4,na1,GOLD,3,0,1.62,23067.33,10900.0,137.0,35.0,0.0,0.0029,0.0171
4,na1,PLATINUM,1,1,3.67,35032.0,13301.0,217.0,12.0,1.0,0.0009,0.0196
5,eun1,DIAMOND,1,0,1.0,9521.0,7381.0,128.0,19.0,0.0,0.0009,0.0157
5,eun1,EMERALD,17,8,4.86,24913.12,11966.06,181.47,17.94,0.4706,0.0148,0.0139
5,eun1,GOLD,3,2,2.68,26656.33,14987.67,175.0,18.67,0.6667,0.0028,0.0084
5,eun1,PLATINUM,3,0,1.28,12889.67,9510.0,150.67,25.33,0.0,0.0026,0.0105
5,euw1,DIAMOND,3,1,4.79,23704.67,12015.33,181.0,23.67,0.3333,0.0026,0.0235
5,euw1,EMERALD,2,1,2.06,24357.0,11837.5,188.0,26.5,0.5,0.0018,0.0164
5,euw1,GOLD,4,1,1.95,18098.75,11097.0,154.75,24.5,0.25,0.0036,0.0169
5,euw1,PLATINUM,11,3,1.69,24935.91,12286.45,193.27,21.0,0.2727,0.0096,0.0148
5,kr,DIAMOND,6,3,3.48,21525.83,11480.33,154.5,27.17,0.5,0.0052,0.1215
5,kr,EMERALD,2,1,1.32,24035.0,13587.0,221.0,36.5,0.5,0.0018,0.0281
